ingredient,normalized_ingredient,ifct_code,ifct_name,mapping_status,mapping_type,confidence,source_type,source_reference,notes
"Milk, whole, cow",milk whole cow,L002,"Milk, whole, Cow",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:L002,Direct match to cow whole milk
Paneer,paneer,L003,Paneer,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:L003,Direct match to fresh paneer
Curd / Dahi,curd   dahi,L002,"Milk, whole, Cow",APPROXIMATE,FOOD_FORM,0.9,PROJECT_ASSUMPTION,IFCT2017:L002,Fermented whole cow milk equivalent; assumes identical raw milk solids
Khoa,khoa,L004,Khoa,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:L004,Direct match to khoa / mawa
Condensed milk,condensed milk,,,VERIFIED,EXTERNAL,0.95,EXTERNAL_REFERENCE,USDA_FDC_173449,USDA FoodData Central 173449 (Sweetened condensed canned milk)
"Chicken meat, breast",chicken meat breast,N003,"Chicken, poultry, breast, skinless",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:N003,"Direct match to chicken breast, skinless"
"Egg, whole",egg whole,M004,"Egg, poultry, whole, boiled",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:M004,Direct match to whole boiled poultry egg
Vegetable oil,vegetable oil,T006,Mustard oil,VERIFIED,VARIETY,0.95,IFCT_DERIVED,IFCT2017:T006,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Ghee,ghee,T013,Ghee,VERIFIED,DIRECT,1.0,IFCT_DERIVED,IFCT2017:T013,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Butter,butter,,,VERIFIED,EXTERNAL,0.95,EXTERNAL_REFERENCE,USDA_FDC_173410,"USDA FoodData Central 173410 (Butter, salted, 81.1g fat/100g)"
Cumin seeds,cumin seeds,G025,Cumin seeds,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:G025,Direct match to cumin seeds (jeera)
Groundnut / Peanut,groundnut   peanut,H012,Ground nut,VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:H012,Direct match to raw ground nut
"Coconut, dry",coconut dry,H006,"Coconut, kernel, dry",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:H006,"Direct match to coconut, kernel, dry"
"Sugar, refined",sugar refined,,,VERIFIED,EXTERNAL,0.95,EXTERNAL_REFERENCE,USDA_FDC_169655,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Jaggery,jaggery,I001,"Jaggery, cane",VERIFIED,DIRECT,1.0,IFCT_DIRECT,IFCT2017:I001,"Direct match to jaggery, cane"
Tapioca pearls,tapioca pearls,F015,Tapioca,APPROXIMATE,FOOD_FORM,0.85,PROJECT_ASSUMPTION,IFCT2017:F015,Sabudana processed starch pearls mapped to proximate raw tapioca root
Tea leaves,tea leaves,,,APPROXIMATE,FOOD_FORM,0.9,PROJECT_ASSUMPTION,PROJECT_CULINARY_ASSUMPTION,Infusion basis: leaves impart flavor; calories supplied by milk and sugar
Coffee powder,coffee powder,,,APPROXIMATE,FOOD_FORM,0.9,PROJECT_ASSUMPTION,PROJECT_CULINARY_ASSUMPTION,Infusion basis: powder imparts flavor; calories supplied by milk and sugar
Commercial bread,commercial bread,,,VERIFIED,EXTERNAL,0.95,EXTERNAL_REFERENCE,USDA_FDC_172685,"USDA FoodData Central 172685 (Bread, white, commercially prepared)"
Commercial biscuit,commercial biscuit,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial ultra-processed biscuit lacking generic IFCT profile; excluded from scoring
Commercial chips,commercial chips,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial ultra-processed potato chips lacking IFCT profile; excluded from scoring
Commercial bun,commercial bun,,,VERIFIED,EXTERNAL,0.9,EXTERNAL_REFERENCE,USDA_FDC_172685,Mapped to commercial white bread/bun baseline (USDA FDC 172685)
Commercial muffin,commercial muffin,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial ultra-processed bakery muffin lacking IFCT profile; excluded from scoring
Commercial brownie,commercial brownie,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial ultra-processed brownie lacking IFCT profile; excluded from scoring
Commercial cream roll,commercial cream roll,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial ultra-processed cream roll lacking IFCT profile; excluded from scoring
Commercial chocolate,commercial chocolate,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial packaged chocolate candy lacking IFCT profile; excluded from scoring
Commercial tea cake,commercial tea cake,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial bakery cake lacking IFCT profile; excluded from scoring
Commercial rusk,commercial rusk,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial twice-baked toast lacking IFCT profile; excluded from scoring
Commercial namkeen,commercial namkeen,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial fried savoury mixture lacking IFCT profile; excluded from scoring
Commercial fryums,commercial fryums,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial deep-fried extruded snack lacking IFCT profile; excluded from scoring
Commercial pasta,commercial pasta,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial pink sauce pasta lacking IFCT profile; excluded from scoring
Commercial cornflakes,commercial cornflakes,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial breakfast cereal flakes lacking IFCT profile; excluded from scoring
Commercial tomato ketchup,commercial tomato ketchup,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial sweetened ketchup lacking generic IFCT profile; excluded from scoring
Commercial jam,commercial jam,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial mixed fruit jam lacking generic IFCT profile; excluded from scoring
Commercial pickle,commercial pickle,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial mango/mixed pickle with unmeasured salt brine; excluded from scoring
Commercial fat spread,commercial fat spread,,,UNMAPPED,UNAVAILABLE,0.0,UNAVAILABLE,UNAVAILABLE,Commercial margarine/fat spread lacking IFCT profile; excluded from scoring
