dish,ingredient,quantity_g,quantity_basis,source_type,source_reference,mapping_status,confidence,notes
Aloo Onion Kadhi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Amritsari Badi,"Black gram, dal",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Urad dal wadi/dumpling base
Amritsari Badi,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Amritsari Badi,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy
Amritsari Badi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Amritsari Badi,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh ginger
Banana,Banana,100.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Single medium whole raw edible banana
Beetroot Cucumber Salad,Beetroot,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh grated/sliced beetroot
Beetroot Cucumber Salad,Cucumber,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh sliced cucumber
Beetroot Cucumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice dressing
Besan Chilla,"Bengal gram, flour",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Gram flour batter
Besan Chilla,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Chopped onion
Besan Chilla,Tomato,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Chopped tomato
Besan Chilla,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Pan frying oil
Besan Chilla,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Green chilli
Besan Ka Halwa,"Bengal gram, flour",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Roasted besan
Besan Ka Halwa,Ghee,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Ghee
Besan Ka Halwa,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sugar
Besan Ka Halwa,"Milk, whole, cow",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Whole milk
Biscuit,Commercial biscuit,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Packaged biscuits portion
Black Chana,"Bengal gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw kala chana issuance
Black Chana,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Black Chana,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Black Chana,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Black Chana,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh ginger
Black Dal Tadka,"Black gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw sabut urad issuance
Black Dal Tadka,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Black Dal Tadka,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Black Dal Tadka,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tadka ghee
Black Dal Tadka,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Garlic cloves
Boiled Egg,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Single large whole boiled poultry egg
Boondi Raita,Curd / Dahi,80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Curd base
Boondi Raita,"Bengal gram, flour",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Boondi gram flour
Boondi Raita,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Boondi frying oil uptake
Bread,Commercial bread,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Two slices white bread
Bread Pakora,Commercial bread,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Single white bread slice
Bread Pakora,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Potato stuffing
Bread Pakora,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Besan batter coat
Bread Pakora,Vegetable oil,8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Deep frying oil uptake
Brownie,Commercial brownie,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Single commercial chocolate brownie
Butter Chicken,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Skinless chicken meat portion
Butter Chicken,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Makhani tomato gravy base
Butter Chicken,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Butter Chicken,Butter,6.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Butter enrichment
Butter Chicken,"Milk, whole, cow",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Milk/cream enrichment
Butter Chicken,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Chaas,Curd / Dahi,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Diluted curd buttermilk base
Chaas,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted cumin
Chana Dal Tadka,"Bengal gram, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw chana dal issuance
Chana Dal Tadka,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Chana Dal Tadka,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Chana Dal Tadka,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tadka ghee
Chana Dal Tadka,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Garlic cloves
Chana Dal Tadka,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cumin tempering
Chana Peanut Salad,"Bengal gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Boiled kala chana
Chana Peanut Salad,Groundnut / Peanut,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted peanuts
Chana Peanut Salad,Cucumber,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Diced cucumber
Chana Peanut Salad,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced tomato
Chana Peanut Salad,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced onion
Chana Peanut Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice dressing
Chana Toor Dal,"Bengal gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Chana dal component
Chana Toor Dal,"Red gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Toor dal component
Chana Toor Dal,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Chana Toor Dal,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Chana Toor Dal,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Chapati,"Wheat flour, atta",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Single chapati standard raw flour weight
Chicken Curry,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Skinless chicken meat portion
Chicken Curry,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy base
Chicken Curry,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy base
Chicken Curry,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Chicken Curry,Ginger,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh ginger paste
Chicken Curry,Garlic,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Fresh garlic paste
Chicken Kolhapuri,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Skinless chicken meat portion
Chicken Kolhapuri,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Spicy Kolhapuri gravy
Chicken Kolhapuri,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy base
Chicken Kolhapuri,"Coconut, dry",6.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted desiccated coconut
Chicken Kolhapuri,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Chicken Kolhapuri,Ginger,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh ginger paste
Chicken Kolhapuri,Garlic,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Fresh garlic paste
Chips,Commercial chips,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Packaged potato chips portion
Chocolate,Commercial chocolate,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Commercial chocolate candy portion
Chocolate Pie,Commercial chocolate,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Commercial bakery chocolate pie portion
Chole Bhature,"Wheat flour, refined",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Refined flour for bhature
Chole Bhature,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Deep frying oil uptake for bhatura
Chole Bhature,Kabuli chana,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.85,Raw chickpea issuance
Chole Bhature,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Gravy onion
Chole Bhature,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Gravy tomato
Chole Bhature,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Chole gravy cooking oil
Chutney,Coriander leaves,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh coriander leaves
Chutney,Mint leaves,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh mint leaves
Chutney,Green chilli,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Spicy green chilli
Chutney,Lemon,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice
Coconut Laddu,"Coconut, dry",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Desiccated coconut
Coconut Laddu,Condensed milk,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Condensed milk binder
Coconut Laddu,"Sugar, refined",5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sugar
Coffee,"Milk, whole, cow",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Milk component in coffee cup
Coffee,"Sugar, refined",8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sweetening sugar
Coffee,Coffee powder,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Brewed coffee grounds
Corn Peas Masala,Sweet corn,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Sweet corn kernels
Corn Peas Masala,Green peas,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Green peas
Corn Peas Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Corn Peas Masala,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy
Corn Peas Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Cornflakes,Commercial cornflakes,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Breakfast cereal flakes single serving
Cream Roll,Commercial cream roll,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Single commercial bakery cream roll
Crispy Dal Kachori,"Wheat flour, refined",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Kachori crust
Crispy Dal Kachori,"Green gram, dal",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Moong dal filling
Crispy Dal Kachori,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Deep frying oil uptake
