dish,ingredient,quantity_g,basis,source,source_type,reason,notes
Aloo Cabbage Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Aloo Capsicum,Potato,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Aloo Capsicum,"Capsicum, green",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced green bell pepper,Direct match to green capsicum (bell pepper)
Aloo Capsicum,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Aloo Capsicum,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Aloo Capsicum,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Aloo Matar,Potato,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Aloo Matar,Green peas,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh green peas,Direct match to fresh green peas
Aloo Matar,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Aloo Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Aloo Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Aloo Onion Kadhi,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Besan kadhi base,Besan is mechanically milled dehulled Bengal gram dal
Aloo Onion Kadhi,Curd / Dahi,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Sour curd for kadhi,Fermented whole cow milk equivalent; assumes identical raw milk solids
Aloo Onion Kadhi,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Aloo Onion Kadhi,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Sliced onion,"Priority cultivar: Onion, big commercial"
Aloo Onion Kadhi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Amritsari Badi,"Black gram, dal",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Urad dal wadi/dumpling base,Direct match to dhuli urad dal
Amritsari Badi,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Amritsari Badi,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy,"Priority cultivar: Onion, big commercial"
Amritsari Badi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Amritsari Badi,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh ginger,Direct match to fresh ginger
Banana,Banana,100.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single medium whole raw edible banana,"Priority cultivar: Banana, ripe, montham"
Beetroot Cucumber Salad,Beetroot,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh grated/sliced beetroot,Direct match to chukandar (beetroot)
Beetroot Cucumber Salad,Cucumber,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh sliced cucumber,Direct match to kheera (green elongate cucumber)
Beetroot Cucumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice dressing,Direct match to fresh lemon juice
Besan Chilla,"Bengal gram, flour",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Gram flour batter,Besan is mechanically milled dehulled Bengal gram dal
Besan Chilla,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chopped onion,"Priority cultivar: Onion, big commercial"
Besan Chilla,Tomato,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chopped tomato,"Priority cultivar: Tomato, ripe, hybrid"
Besan Chilla,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Pan frying oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Besan Chilla,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green chilli,Green chillies - all varieties composite
Besan Ka Halwa,"Bengal gram, flour",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted besan,Besan is mechanically milled dehulled Bengal gram dal
Besan Ka Halwa,Ghee,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Ghee,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Besan Ka Halwa,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined sugar,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Besan Ka Halwa,"Milk, whole, cow",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Whole milk,Direct match to cow whole milk
Biscuit,Commercial biscuit,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Packaged biscuits portion,Commercial ultra-processed biscuit lacking generic IFCT profile; excluded from scoring
Black Chana,"Bengal gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw kala chana issuance,Direct match to kala chana
Black Chana,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Black Chana,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Black Chana,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Black Chana,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh ginger,Direct match to fresh ginger
Black Dal Tadka,"Black gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw sabut urad issuance,Direct match to sabut urad (black dal)
Black Dal Tadka,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Black Dal Tadka,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Black Dal Tadka,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tadka ghee,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Black Dal Tadka,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Garlic cloves,"Priority cultivar: Garlic, big cloves"
Boiled Egg,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single large whole boiled poultry egg,Direct match to whole boiled poultry egg
Boondi Raita,Curd / Dahi,80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Curd base,Fermented whole cow milk equivalent; assumes identical raw milk solids
Boondi Raita,"Bengal gram, flour",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Boondi gram flour,Besan is mechanically milled dehulled Bengal gram dal
Boondi Raita,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Boondi frying oil uptake,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Bread,Commercial bread,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Two slices white bread,"USDA FoodData Central 172685 (Bread, white, commercially prepared)"
Bread Pakora,Commercial bread,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single white bread slice,"USDA FoodData Central 172685 (Bread, white, commercially prepared)"
Bread Pakora,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Potato stuffing,"Priority cultivar: Potato, brown skin, big"
Bread Pakora,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Besan batter coat,Besan is mechanically milled dehulled Bengal gram dal
Bread Pakora,Vegetable oil,8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Deep frying oil uptake,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Brownie,Commercial brownie,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single commercial chocolate brownie,Commercial ultra-processed brownie lacking IFCT profile; excluded from scoring
Butter Chicken,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Skinless chicken meat portion,"Direct match to chicken breast, skinless"
Butter Chicken,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Makhani tomato gravy base,"Priority cultivar: Tomato, ripe, hybrid"
Butter Chicken,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Butter Chicken,Butter,6.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Butter enrichment,"USDA FoodData Central 173410 (Butter, salted, 81.1g fat/100g)"
Butter Chicken,"Milk, whole, cow",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Milk/cream enrichment,Direct match to cow whole milk
Butter Chicken,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chaas,Curd / Dahi,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diluted curd buttermilk base,Fermented whole cow milk equivalent; assumes identical raw milk solids
Chaas,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted cumin,Direct match to cumin seeds (jeera)
Chana Dal Tadka,"Bengal gram, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw chana dal issuance,Direct match to chana dal
Chana Dal Tadka,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Chana Dal Tadka,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Chana Dal Tadka,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tadka ghee,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Chana Dal Tadka,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Garlic cloves,"Priority cultivar: Garlic, big cloves"
Chana Dal Tadka,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cumin tempering,Direct match to cumin seeds (jeera)
Chana Peanut Salad,"Bengal gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Boiled kala chana,Direct match to kala chana
Chana Peanut Salad,Groundnut / Peanut,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted peanuts,Direct match to raw ground nut
Chana Peanut Salad,Cucumber,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced cucumber,Direct match to kheera (green elongate cucumber)
Chana Peanut Salad,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced tomato,"Priority cultivar: Tomato, ripe, hybrid"
Chana Peanut Salad,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced onion,"Priority cultivar: Onion, big commercial"
Chana Peanut Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice dressing,Direct match to fresh lemon juice
Chana Toor Dal,"Bengal gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chana dal component,Direct match to chana dal
Chana Toor Dal,"Red gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Toor dal component,Direct match to toor dal / arhar dal
Chana Toor Dal,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Chana Toor Dal,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Chana Toor Dal,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chapati,"Wheat flour, atta",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single chapati standard raw flour weight,Direct match to whole wheat atta
Chicken Curry,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Skinless chicken meat portion,"Direct match to chicken breast, skinless"
Chicken Curry,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy base,"Priority cultivar: Tomato, ripe, hybrid"
Chicken Curry,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy base,"Priority cultivar: Onion, big commercial"
Chicken Curry,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chicken Curry,Ginger,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh ginger paste,Direct match to fresh ginger
Chicken Curry,Garlic,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh garlic paste,"Priority cultivar: Garlic, big cloves"
Chicken Kolhapuri,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Skinless chicken meat portion,"Direct match to chicken breast, skinless"
Chicken Kolhapuri,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Spicy Kolhapuri gravy,"Priority cultivar: Tomato, ripe, hybrid"
Chicken Kolhapuri,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy base,"Priority cultivar: Onion, big commercial"
Chicken Kolhapuri,"Coconut, dry",6.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted desiccated coconut,"Direct match to coconut, kernel, dry"
Chicken Kolhapuri,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chicken Kolhapuri,Ginger,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh ginger paste,Direct match to fresh ginger
Chicken Kolhapuri,Garlic,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh garlic paste,"Priority cultivar: Garlic, big cloves"
Chips,Commercial chips,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Packaged potato chips portion,Commercial ultra-processed potato chips lacking IFCT profile; excluded from scoring
Chocolate,Commercial chocolate,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Commercial chocolate candy portion,Commercial packaged chocolate candy lacking IFCT profile; excluded from scoring
Chocolate Pie,Commercial chocolate,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Commercial bakery chocolate pie portion,Commercial packaged chocolate candy lacking IFCT profile; excluded from scoring
Chole Bhature,"Wheat flour, refined",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined flour for bhature,Direct match to maida (refined wheat flour)
Chole Bhature,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Deep frying oil uptake for bhatura,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chole Bhature,Kabuli chana,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw chickpea issuance,White chana mapped to proximate species Cicer arietinum L. (whole)
Chole Bhature,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Gravy onion,"Priority cultivar: Onion, big commercial"
Chole Bhature,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Gravy tomato,"Priority cultivar: Tomato, ripe, hybrid"
Chole Bhature,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chole gravy cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Chutney,Coriander leaves,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh coriander leaves,Direct match to fresh coriander leaves
Chutney,Mint leaves,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh mint leaves,Direct match to fresh mint leaves
Chutney,Green chilli,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Spicy green chilli,Green chillies - all varieties composite
Chutney,Lemon,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice,Direct match to fresh lemon juice
Coconut Laddu,"Coconut, dry",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Desiccated coconut,"Direct match to coconut, kernel, dry"
Coconut Laddu,Condensed milk,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Condensed milk binder,USDA FoodData Central 173449 (Sweetened condensed canned milk)
Coconut Laddu,"Sugar, refined",5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined sugar,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
